User,Repo,Size (KB),Number of Contributors
gcummings,jira-plugin,1232,19
gcummings,maven-plugin,3211,48
gcummings,parameterized-trigger-plugin,513,17
gcummings,scoring-load-balancer-plugin,84,1
gcummings,subversion-plugin,867,16
gcummings,throttle-concurrent-builds-plugin,230,10
gcummings,tracking-git-plugin,124,1
geazzy,avaliacao-jpa-2012,679,2
geazzy,gitminer,752,3
geazzy,jsf-2012,92,1
geazzy,mongodb,148,1
geazzy,topicos-2012,98,1
geazzy,xml-2012,74,1
gettoarun,whois-data-loader,140,0
ggeorgovassilis,reactive-programming,220,1
ggeorgovassilis,spring-rest-invoker,1362,1
ghillairet,emfjson-couchdb,127,1
ghillairet,emfjson-mongo,63,2
ghillairet,gef-gwt,3267,1
gianlucaborello,ec2-plugin,604,39
giflw,jdeb,3497,27
gileri,GP,628,1
gini,doctag_java,359,1
gini,dropbox-java-sdk,1729,1
gini,dropwizard-gelf,1767,4
gini,dropwizard-spring,166,1
giran,Java-Mandrill-Wrapper,164,8
gitahinganga,leave-manager,520,1
gitahinganga,mirth,240,1
gitahinganga,openmrs-contrib-maven-plugin-distrotools,300,1
gitahinganga,test-releasing,156,1
gjb2048,blog-thymeleaf,93,2
gjb2048,MiniThymeleafWebServer,128,1
gkonst,study-compilers,216,1
gleber,elasticsearch-analysis-icu,88,4
GlenKPeterson,fp4java7,2314,1
